Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",194.580000,-102.870000,0.000000,top
"C2","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",206.806800,-106.984800,-90.000000,top
"C3","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",194.005200,-98.501200,-90.000000,top
"R1","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",193.929000,-90.805000,-90.000000,top
"R2","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",193.929000,-94.742000,-90.000000,top
"R3","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",194.580000,-105.029000,0.000000,top
"R4","82k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",199.390000,-100.584000,180.000000,top
"R5","20k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",197.358000,-98.552000,180.000000,top
"R6","30k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",206.467200,-115.824000,180.000000,top
"R7","20k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",205.536800,-118.872000,-90.000000,top
"R8","20k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",195.783200,-113.411000,-90.000000,top
"R9","30k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",200.609200,-112.522000,0.000000,top
"R10","40k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",208.940400,-110.794800,90.000000,top
"R11","50k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",208.889600,-107.000800,90.000000,top
"R12","50k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",203.851000,-108.077000,0.000000,top
"R13","40k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",200.803000,-109.093000,90.000000,top
"R14","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",206.806800,-103.124000,-90.000000,top
"U1","MCP602","SOIC-8_3.9x4.9mm_P1.27mm",200.549000,-104.267000,180.000000,top
"U2","MCP602","SOIC-8_3.9x4.9mm_P1.27mm",200.609200,-116.332000,180.000000,top
"U3","MCP602","SOIC-8_3.9x4.9mm_P1.27mm",200.533000,-93.218000,180.000000,top
"U4","L9110h","HSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.1mm_ThermalVias",200.467000,-85.755000,0.000000,top
"U5","ADXL335","Analog_LFCSP-16-1EP_4x4mm_P0.65mm_EP2.35x2.35mm",200.701000,-123.284500,0.000000,top
