Comment,Designator,Footprint,LCSC,Quantity
100k,"R14,R3",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C149504,2
10nF,C1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1710,1
10k,"R1,R2",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414,2
24k,"R6,R9",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17575,2
43k,"R10,R13",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17695,2
47k,"R11,R12",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17713,2
82k,R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17840,1
1uF,"C2,C3",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28323,2
MCP602,"U1,U2,U3",SOIC-8_3.9x4.9mm_P1.27mm,C29605,3
ADXL335,U5,Analog_LFCSP-16-1EP_4x4mm_P0.65mm_EP2.35x2.35mm,C34439,1
20k,"R5,R7,R8",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4328,3
L9110h,U4,HSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.1mm,C513306,1
Conn_01x05_Socket,J1,PinSocket_1x05_P2.54mm_Vertical,,1
Conn_01x05_Socket,J2,PinSocket_1x05_P2.54mm_Vertical,,1
