Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",194.818000,-101.600000,90.000000,top
"C2","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",185.420000,-109.220000,180.000000,top
"C3","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",190.500000,-109.220000,180.000000,top
"R1","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",191.151000,-132.715000,0.000000,top
"R2","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",191.151000,-134.747000,180.000000,top
"R3","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",188.150000,-93.345000,180.000000,top
"R4","82k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",191.960000,-93.345000,0.000000,top
"R5","20k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",196.040000,-93.345000,0.000000,top
"R6","30k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",194.945000,-106.807000,-90.000000,top
"R7","20k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",202.184000,-108.204000,180.000000,top
"R8","20k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",204.978000,-95.250000,0.000000,top
"R9","30k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",205.105000,-93.091000,180.000000,top
"R10","40k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",197.231000,-110.490000,-90.000000,top
"R11","50k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",184.023000,-112.903000,-90.000000,top
"R12","50k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",191.770000,-114.300000,90.000000,top
"R13","40k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",201.041000,-94.996000,180.000000,top
"R14","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",186.436000,-112.395000,90.000000,top
"U5","ADXL335","Analog_LFCSP-16-1EP_4x4mm_P0.65mm_EP2.35x2.35mm",195.072000,-140.335000,0.000000,top
